Chlorine,Hardness,Hydrogen,Sulphur,Carbon,Oxygen,Nitrogen
11.044,10.4557,14.047,10.165,31.585,12.7,10.405
10.0,10.453963,13.9,11.863,31.21,12.079,10.906
11.179,10.4554,14.113,10.162,31.543,12.508000000000001,10.462
10.534,10.454839,14.392,10.0,31.929999999999996,12.600999999999999,10.537
10.0,10.458217,13.306,10.0,31.924,14.488,10.225
11.047,10.454935,14.02,10.201,31.795,12.454,10.456
11.044,10.455163,13.861,10.168,31.912000000000003,12.529,10.399000000000001
11.104,10.455124,14.116,10.192,31.618,12.364,10.543
10.66,10.456741,14.457999999999998,10.228,31.078,12.928,10.618
11.023,10.455328,14.059,10.174,31.612000000000002,12.637,10.456
11.074,10.454881,13.9,10.183,31.849,12.411999999999999,10.462
11.065,10.454938,14.023,10.204,31.843,12.43,10.375
10.0,10.454593,14.506,10.012,31.929999999999996,12.724,10.798
10.0,10.455907,14.368,10.0,32.044,13.366,10.168
10.0,10.455133,14.77,10.0,32.007999999999996,12.586,10.624
11.02,10.454938,13.911999999999999,10.156,31.903000000000002,12.574,10.378
10.0,10.454953,14.785,10.0,32.083,12.544,10.582
10.0,10.454524,14.734,10.0,32.05,12.501999999999999,10.675
10.888,10.455433,13.93,10.18,31.876,12.637,10.429
11.074,10.4569,13.993,10.036,31.596999999999998,13.059999999999999,10.246
10.0,10.455181,14.608,10.0,31.983999999999998,12.684999999999999,10.702
11.122,10.455262,14.044,10.177,31.897,12.408999999999999,10.350999999999999
11.143,10.456681,14.251,10.0,31.404999999999998,12.907,10.234
11.011,10.455607,13.957,10.171,31.816,12.697,10.354
11.05,10.455241000000001,13.852,10.168,31.980999999999998,12.565,10.342
10.954,10.454979999999999,13.897,10.174,31.891,12.715,10.369
10.684,10.456243,14.134,10.147,31.596999999999998,13.006,10.429
11.062,10.455205,13.905999999999999,10.162,31.819,12.553,10.507
11.029,10.454767,13.864,10.207,31.983999999999998,12.487,10.42
11.193999999999999,10.455439,14.029,10.174,31.746999999999996,12.445,10.354
11.086,10.455226,13.981,10.165,31.924,12.421,10.372
10.0,10.454635,14.425,10.024,32.016999999999996,12.736,10.804
10.627,10.456204,14.146,10.159,31.654,12.922,10.501
11.134,10.456633,14.257,10.069,31.407999999999998,12.853,10.273
10.657,10.455556,14.227,10.0,31.801,12.796,10.498
11.11,10.458001,14.197,10.006,31.470999999999997,12.975999999999999,10.213
11.035,10.454995,13.942,10.18,31.744,12.565,10.528
11.029,10.45558,14.008,10.153,31.678,12.58,10.429
10.0,10.455982,13.981,10.141,31.909,13.396,10.528
11.068,10.455022,13.861,10.195,31.942,12.397,10.491999999999999
11.062,10.455283,13.843,10.174,31.971999999999998,12.517,10.369
11.017,10.454965,14.023,10.156,31.791999999999998,12.595,10.384
11.098,10.455307,14.094999999999999,10.033,31.831,12.58,10.333
11.128,10.456363,14.209,10.033,31.537000000000003,12.895,10.174
11.161,10.455544,14.091999999999999,10.162,31.587999999999997,12.592,10.381
11.071,10.454956,14.068,10.192,31.735,12.388,10.441
11.062,10.455292,13.894,10.195,31.9,12.559,10.363
11.08,10.455229,13.99,10.174,31.927,12.451,10.342
11.035,10.454701,13.987,10.168,31.822,12.571,10.363
10.405,10.45606,14.193999999999999,10.117,31.528000000000002,13.222,10.489
11.083,10.455001,13.882,10.168,31.825,12.58,10.378
10.813,10.455307,13.735,10.168,32.11,12.79,10.387
11.056000000000001,10.454776,13.858,10.207,31.798,12.391,10.636
11.044,10.455325,13.882,10.183,31.891,12.634,10.369
11.086,10.455523,13.905999999999999,10.192,31.702,12.784,10.318
11.068,10.455304,13.795,10.183,31.924,12.649000000000001,10.39
10.0,10.454869,14.379999999999999,10.012,32.038,12.738999999999999,10.837
10.717,10.455715,14.2,10.0,31.711000000000002,12.871,10.468
11.083,10.454788,13.837,10.192,31.891,12.499,10.486
10.0,10.458331,13.792,10.018,31.605999999999998,14.32,10.201
11.065,10.45525,13.846,10.162,31.825,12.613,10.447
11.071,10.455253,13.843,10.186,31.906,12.577,10.405
11.032,10.454815,13.870000000000001,10.132,31.918,12.481,10.435
10.999,10.454887,13.813,10.201,31.983999999999998,12.472,10.447
11.002,10.45477,13.972,10.117,31.929999999999996,12.466000000000001,10.441
11.062,10.454989,13.879,10.192,31.887999999999998,12.472,10.486
11.038,10.454713,13.815999999999999,10.201,31.96,12.499,10.468
10.723,10.455811,14.137,10.0,31.828,12.931,10.357
11.056000000000001,10.454782,13.927,10.204,31.861,12.442,10.465
11.074,10.455754,14.212,10.168,31.624,12.49,10.411
11.14,10.455418,13.9,10.168,31.920999999999996,12.55,10.324
11.004999999999999,10.455694,14.074,10.177,31.624,12.673,10.369
11.119,10.455733,14.17,10.018,31.636,12.667,10.354
11.149000000000001,10.455676,14.038,10.171,31.764999999999997,12.505,10.378
11.035,10.454779,13.975,10.183,31.951,12.358,10.429
11.104,10.456531,13.959999999999999,10.162,31.825,12.556,10.345
11.100999999999999,10.455352,13.804,10.183,31.933,12.61,10.348
10.0,10.459375,14.164,10.174,30.943,14.074,10.63
10.0,10.455196,14.95,10.0,31.897,12.583,10.54
10.843,10.455334,13.963000000000001,10.153,31.894000000000002,12.733,10.387
11.041,10.455127,13.9,10.198,31.816,12.454,10.537
10.0,10.455748,14.245000000000001,10.0,31.822,13.264,10.627
11.044,10.455379,13.963000000000001,10.177,31.791999999999998,12.529,10.423
11.155,10.456588,14.308,10.045,31.407999999999998,12.745000000000001,10.267
11.122,10.455523,13.879,10.192,31.684,12.754000000000001,10.333
10.0,10.455055,14.953,10.0,31.918,12.52,10.597
11.056000000000001,10.455022,13.837,10.198,32.007999999999996,12.370000000000001,10.462
11.059,10.455727,14.2,10.153,31.543,12.634,10.396
11.167,10.455538,14.023,10.153,31.714,12.484,10.399000000000001
11.059,10.45483,13.998999999999999,10.168,31.801,12.499,10.402
11.017,10.455337,13.963000000000001,10.177,31.828,12.577,10.399000000000001
11.191,10.455541,13.93,10.18,31.732,12.529,10.357
10.855,10.454965,13.858,10.171,31.980999999999998,12.703,10.432
10.672,10.455487,14.338000000000001,10.0,31.714,12.778,10.486
11.074,10.455931,14.35,10.036,31.516,12.600999999999999,10.396
10.0,10.454668,14.404,10.042,31.969,12.826,10.762
11.146,10.456639,14.263,10.033,31.531,12.871,10.141
10.975,10.455229,13.66,10.186,32.065,12.742,10.348
11.071,10.45501,13.972,10.168,31.81,12.562,10.414
11.044,10.45492,13.765,10.189,31.969,12.451,10.561
10.96,10.453393,14.463999999999999,10.528,31.843,11.629,10.543
11.098,10.455289,13.84,10.18,31.903000000000002,12.568,10.381
11.100999999999999,10.455517,13.855,10.186,31.770999999999997,12.709,10.372
11.100999999999999,10.454722,14.457999999999998,10.048,31.561,12.244,10.522
11.086,10.455133,13.867,10.183,31.887999999999998,12.433,10.471
11.065,10.454854,14.059,10.117,31.897,12.334,10.462
11.056000000000001,10.454839,14.176,10.111,31.863999999999997,12.424,10.375
10.0,10.455049,14.838999999999999,10.0,31.987000000000002,12.577,10.594
11.062,10.455349,13.806999999999999,10.171,31.885,12.625,10.402
10.978,10.455514,14.785,10.438,31.375,11.737,10.666
10.0,10.457992,13.369,10.0,31.962999999999997,14.404,10.231
10.0,10.453948,13.905999999999999,11.863,31.144000000000002,12.088000000000001,10.911999999999999
11.098,10.455262,14.017,10.171,31.837,12.514,10.357
10.564,10.456513,13.468,10.141,31.858,13.423,10.468
11.05,10.454854,13.902999999999999,10.18,31.867,12.436,10.444
11.056000000000001,10.455304,13.768,10.171,31.945,12.562,10.429
11.107,10.455297999999999,13.963000000000001,10.171,31.782999999999998,12.466000000000001,10.387
11.131,10.456669,13.963000000000001,10.039,31.596999999999998,13.006,10.237
10.0,10.455157,14.902000000000001,10.0,31.906,12.583,10.6
11.08,10.455283,14.167,10.144,31.819,12.349,10.408
11.125,10.455898,14.431000000000001,10.009,31.605999999999998,12.7,10.087
10.852,10.455511,13.942,10.165,31.854999999999997,12.721,10.384
11.047,10.455352,13.924,10.18,31.858,12.547,10.384
11.056000000000001,10.454929,13.648,10.171,31.867,12.559,10.405
10.816,10.45519,13.705,10.21,31.861,12.769,10.489
10.0,10.454974,14.953,10.0,31.933,12.484,10.597
11.008,10.455388,14.05,10.171,31.581999999999997,12.67,10.489
11.062,10.455802,14.137,10.048,31.795,12.739,10.225
10.549,10.457095,15.241,10.093,31.129,12.583,10.393
11.05,10.45516,14.014,10.15,31.854999999999997,12.529,10.345
11.098,10.455616,13.879,10.174,31.753,12.600999999999999,10.468
11.086,10.455715,14.08,10.042,31.791999999999998,12.628,10.333
10.999,10.455778,13.959999999999999,10.18,31.708,12.775,10.384
10.483,10.456174,13.927,10.228,31.654,13.062999999999999,10.651
10.87,10.45723,14.149000000000001,10.024,31.345000000000002,13.237,10.350999999999999
10.945,10.458175,14.14,10.024,31.170999999999996,13.492,10.198
11.041,10.453645,13.897,10.186,31.894000000000002,12.597999999999999,10.336
10.0,10.456129,14.014,10.099,31.675,13.75,10.42
11.095,10.456456,13.915,10.057,31.666,13.006,10.261
11.062,10.45507,13.998999999999999,10.204,31.762,12.433,10.483
11.074,10.45477,13.905999999999999,10.207,31.936,12.388,10.453
11.116,10.45696,14.116,10.027,31.525,13.066,10.153
11.128,10.455532,13.975,10.174,31.720000000000002,12.526,10.396
11.092,10.455019,13.99,10.195,31.759,12.495999999999999,10.459
10.0,10.455907,13.792,10.114,32.125,13.459,10.495
10.0,10.455454,14.116,10.0,32.335,13.297,10.168
10.0,10.454827,14.661999999999999,10.015,31.915,12.649000000000001,10.753
10.234,10.455664,14.497,10.0,31.75,12.985,10.522
11.068,10.454788,13.905999999999999,10.216,31.933,12.370000000000001,10.462
11.095,10.455337,14.091999999999999,10.018,31.9,12.679,10.195
11.074,10.454875,14.008,10.135,31.816,12.463000000000001,10.447
11.158,10.456516,14.053,10.069,31.537000000000003,12.895,10.264
11.068,10.455244,13.858,10.162,31.962999999999997,12.565,10.381
10.0,10.454851,14.686,10.0,31.99,12.613,10.681
10.099,10.456357,13.891,10.039,32.016999999999996,13.465,10.453
10.0,10.456666,14.329,10.03,31.801,13.48,10.3
11.083,10.454935,14.032,10.198,31.717,12.408999999999999,10.462
10.0,10.454998,13.858,10.291,32.164,13.051,10.549
10.804,10.454542,14.863,10.504,30.967,11.761,11.05
10.0,10.456195,14.8,10.0,32.025999999999996,12.532,10.606
